PassengerId,Survived,Pclass,Name,Gender,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
35,0,1,John Doe,male,66,0,2,A/5 21171,34.76385903682804,C85,C
36,1,1,John Doe,male,42,0,2,A/5 21171,68.41330122290442,C85,Q
37,1,2,John Doe,male,40,2,0,A/5 21171,87.18265714377851,C85,C
38,0,3,John Doe,female,13,2,4,A/5 21171,49.99066421630163,C85,S
39,1,2,John Doe,female,38,1,1,A/5 21171,72.43564369508631,C85,S
40,1,1,John Doe,female,25,1,3,A/5 21171,44.32733301657713,C85,S
41,0,3,John Doe,female,40,1,4,A/5 21171,84.20271086223244,C85,S
42,1,3,John Doe,female,1,2,3,A/5 21171,89.53326954107301,C85,Q
43,0,3,John Doe,male,44,2,4,A/5 21171,42.971376440733835,C85,S
44,0,2,John Doe,female,36,0,0,A/5 21171,83.53702689787463,C85,Q
45,1,1,John Doe,male,6,1,2,A/5 21171,51.161344829614414,C85,S
46,0,2,John Doe,female,71,4,0,A/5 21171,13.740929365019893,C85,C
47,1,3,John Doe,female,25,0,1,A/5 21171,19.34464170798895,C85,C
48,1,2,John Doe,male,58,1,3,A/5 21171,15.77872444160342,C85,Q
49,1,1,John Doe,male,52,4,4,A/5 21171,13.831354953866377,C85,S
50,0,2,John Doe,female,67,2,3,A/5 21171,73.53854617914901,C85,Q
51,1,3,John Doe,female,13,4,0,A/5 21171,32.67819692933803,C85,C
52,0,2,John Doe,female,54,1,3,A/5 21171,14.120639765714387,C85,S
53,0,3,John Doe,female,32,0,0,A/5 21171,61.188469590546326,C85,S
54,1,3,John Doe,female,7,1,4,A/5 21171,60.77327314606764,C85,Q
55,0,3,John Doe,male,30,4,2,A/5 21171,96.83869806079403,C85,C
56,1,1,John Doe,female,21,1,4,A/5 21171,46.52101631948386,C85,C
57,1,3,John Doe,female,13,4,3,A/5 21171,16.253371655832716,C85,Q
58,1,1,John Doe,male,1,4,0,A/5 21171,74.76954816201444,C85,Q
59,1,2,John Doe,female,35,4,0,A/5 21171,16.88739687807029,C85,S
60,0,2,John Doe,female,42,4,4,A/5 21171,53.10875122946075,C85,S
61,1,1,John Doe,female,29,0,3,A/5 21171,10.869457799904163,C85,S
62,0,3,John Doe,male,58,1,3,A/5 21171,66.42463794083329,C85,Q
63,1,2,John Doe,female,51,4,3,A/5 21171,11.321163176300931,C85,C
64,0,2,John Doe,female,40,4,3,A/5 21171,27.501267108198455,C85,S
65,1,2,John Doe,female,24,2,0,A/5 21171,42.4618921370131,C85,Q
66,1,3,John Doe,female,40,4,4,A/5 21171,89.60774351096414,C85,S
67,1,2,John Doe,male,35,3,1,A/5 21171,70.47010436238325,C85,S
68,1,3,John Doe,male,50,4,2,A/5 21171,39.93918108702242,C85,C
69,0,3,John Doe,female,33,3,1,A/5 21171,31.386278337452953,C85,Q
70,1,2,John Doe,female,47,3,2,A/5 21171,62.717781069219505,C85,Q
71,0,3,John Doe,male,66,2,3,A/5 21171,47.7197063620227,C85,C
72,0,3,John Doe,female,47,1,1,A/5 21171,41.629269862965,C85,Q
73,1,1,John Doe,female,57,4,4,A/5 21171,65.82190148944511,C85,S
74,1,1,John Doe,female,46,4,0,A/5 21171,80.17413511914295,C85,S
75,1,1,John Doe,female,6,1,3,A/5 21171,74.10994654832363,C85,Q
76,1,3,John Doe,female,24,2,2,A/5 21171,71.3855106767914,C85,C
77,1,3,John Doe,male,48,3,2,A/5 21171,62.167769333254675,C85,Q
78,0,3,John Doe,male,65,0,2,A/5 21171,75.27180363825529,C85,S
79,1,2,John Doe,male,5,2,3,A/5 21171,98.83205541334354,C85,C
80,0,2,John Doe,male,73,0,1,A/5 21171,54.18215148260794,C85,S
81,1,1,John Doe,male,27,0,3,A/5 21171,88.76047916636026,C85,S
82,0,3,John Doe,male,22,0,3,A/5 21171,67.7919362315275,C85,Q
83,0,2,John Doe,female,33,2,3,A/5 21171,67.77387290714428,C85,C
84,0,1,John Doe,male,34,3,0,A/5 21171,33.47594745420655,C85,S
85,0,1,John Doe,male,78,1,3,A/5 21171,86.5241160833687,C85,S
86,1,1,John Doe,male,11,0,1,A/5 21171,56.89387527789577,C85,S
87,0,1,John Doe,female,42,4,2,A/5 21171,97.88509816734818,C85,Q
88,1,2,John Doe,male,3,3,4,A/5 21171,66.59826833546849,C85,Q
89,0,3,John Doe,female,26,0,4,A/5 21171,14.834672561447048,C85,Q
90,0,1,John Doe,male,9,0,3,A/5 21171,93.80119876156391,C85,C
91,0,3,John Doe,female,35,3,4,A/5 21171,47.02117281484897,C85,C
92,1,2,John Doe,female,76,3,2,A/5 21171,94.0902268236807,C85,S
93,1,2,John Doe,female,14,0,0,A/5 21171,47.55600759031494,C85,Q
94,0,3,John Doe,female,71,3,1,A/5 21171,58.15846602205287,C85,Q
95,0,1,John Doe,male,76,1,0,A/5 21171,10.635028332766776,C85,Q
96,1,1,John Doe,female,41,1,3,A/5 21171,51.6037998662983,C85,Q
97,1,1,John Doe,male,33,4,1,A/5 21171,13.08353231997842,C85,S
98,0,2,John Doe,female,34,2,3,A/5 21171,60.465746701697796,C85,S
99,0,3,John Doe,male,1,2,2,A/5 21171,11.201491556507342,C85,S
100,1,3,John Doe,female,1,1,0,A/5 21171,10.090778762716534,C85,S
101,1,2,John Doe,male,76,1,3,A/5 21171,41.239899624269725,C85,Q
102,1,2,John Doe,male,19,0,2,A/5 21171,33.72869397414158,C85,S
103,0,2,John Doe,female,4,2,3,A/5 21171,33.08162296281499,C85,C
104,1,3,John Doe,female,26,1,3,A/5 21171,43.419153003043974,C85,Q
105,0,3,John Doe,female,44,4,4,A/5 21171,75.24333110170386,C85,Q
106,1,2,John Doe,male,35,2,1,A/5 21171,34.90959149433635,C85,Q
107,0,2,John Doe,male,64,4,3,A/5 21171,22.43815772260993,C85,C
108,0,1,John Doe,male,52,2,1,A/5 21171,78.8022157044687,C85,C
109,1,1,John Doe,male,53,0,1,A/5 21171,58.240120851681105,C85,C
110,0,1,John Doe,female,47,3,3,A/5 21171,61.952785733552034,C85,Q
111,1,2,John Doe,male,12,3,2,A/5 21171,71.2317244991584,C85,C
112,0,1,John Doe,male,70,4,3,A/5 21171,67.44742519318167,C85,S
113,1,1,John Doe,male,29,1,3,A/5 21171,49.204352639816015,C85,C
114,0,2,John Doe,female,50,0,4,A/5 21171,21.22695144455937,C85,Q
115,0,2,John Doe,female,56,3,0,A/5 21171,70.13058571732384,C85,Q
116,0,2,John Doe,female,73,2,4,A/5 21171,84.68037705749009,C85,Q
117,0,1,John Doe,male,39,0,2,A/5 21171,74.99064073430193,C85,C
118,1,3,John Doe,female,54,1,0,A/5 21171,60.51802440390895,C85,Q
119,1,1,John Doe,male,10,3,3,A/5 21171,91.0345604818424,C85,C
120,1,3,John Doe,male,50,2,3,A/5 21171,39.51638695424387,C85,Q
121,1,2,John Doe,female,55,3,4,A/5 21171,24.64195222156969,C85,S
122,1,1,John Doe,male,62,0,1,A/5 21171,91.66945534880101,C85,S
123,1,3,John Doe,male,38,3,2,A/5 21171,43.025610044130985,C85,C
124,0,1,John Doe,female,37,0,3,A/5 21171,20.60507859460135,C85,S
125,1,1,John Doe,female,6,3,4,A/5 21171,86.19193766385342,C85,Q
126,1,3,John Doe,male,64,3,1,A/5 21171,23.42479349240861,C85,C
127,0,2,John Doe,male,49,3,0,A/5 21171,26.44312122820569,C85,C
128,1,2,John Doe,female,9,4,0,A/5 21171,44.01268655856638,C85,C
129,0,1,John Doe,female,45,4,2,A/5 21171,43.880014047349036,C85,S
130,0,1,John Doe,male,66,0,3,A/5 21171,94.382990725571,C85,Q
131,1,3,John Doe,male,8,4,1,A/5 21171,56.50091921084372,C85,C
132,1,1,John Doe,male,10,4,2,A/5 21171,58.01275660252065,C85,Q
133,1,1,John Doe,male,6,2,3,A/5 21171,79.31226238793518,C85,Q
134,0,3,John Doe,male,30,4,1,A/5 21171,28.114739647267278,C85,Q
135,1,1,John Doe,male,28,4,3,A/5 21171,58.911581361374196,C85,C
136,1,2,John Doe,male,76,3,4,A/5 21171,25.23355104529378,C85,C
137,0,2,John Doe,female,32,0,4,A/5 21171,43.602912623347194,C85,C
138,0,3,John Doe,female,56,2,0,A/5 21171,61.46520487782097,C85,Q
139,0,3,John Doe,male,55,3,4,A/5 21171,97.26010123996247,C85,C
140,0,1,John Doe,male,27,3,2,A/5 21171,61.54570125562577,C85,Q
141,0,1,John Doe,male,27,4,2,A/5 21171,40.57993881694688,C85,S
142,0,1,John Doe,male,44,0,0,A/5 21171,40.91581076856991,C85,C
143,1,2,John Doe,female,46,0,4,A/5 21171,71.32141311794776,C85,Q
144,1,2,John Doe,female,29,3,1,A/5 21171,93.46767934217023,C85,Q
145,1,1,John Doe,female,72,1,4,A/5 21171,95.17603373424112,C85,Q
146,1,2,John Doe,male,40,2,1,A/5 21171,78.29622137689027,C85,C
147,0,2,John Doe,male,29,1,4,A/5 21171,45.700347590515996,C85,S
148,1,3,John Doe,female,15,1,1,A/5 21171,99.33599857171647,C85,Q
149,1,3,John Doe,female,30,0,4,A/5 21171,70.15048113469528,C85,Q
150,0,3,John Doe,female,25,3,3,A/5 21171,92.54241091586744,C85,C
151,0,1,John Doe,female,1,0,1,A/5 21171,43.95552922817689,C85,S
152,0,3,John Doe,female,72,4,2,A/5 21171,87.26916071189981,C85,Q
153,0,1,John Doe,male,6,0,2,A/5 21171,10.688415518604065,C85,S
154,0,3,John Doe,female,2,3,1,A/5 21171,87.51529045131126,C85,Q
155,1,2,John Doe,female,6,3,4,A/5 21171,45.58132200473679,C85,C
156,1,1,John Doe,male,3,0,4,A/5 21171,55.03851632515147,C85,S
157,0,2,John Doe,female,52,0,0,A/5 21171,55.159170557261135,C85,Q
158,0,3,John Doe,male,14,0,4,A/5 21171,55.89193289729757,C85,C
159,1,1,John Doe,female,33,3,4,A/5 21171,56.50540649084475,C85,C
160,0,2,John Doe,male,44,2,4,A/5 21171,27.014428863683637,C85,S
161,0,1,John Doe,female,16,2,3,A/5 21171,49.429112395293956,C85,C
162,1,2,John Doe,male,19,1,0,A/5 21171,46.65514125125836,C85,C
163,1,1,John Doe,female,4,4,0,A/5 21171,65.139770229714,C85,S
164,1,1,John Doe,male,53,2,4,A/5 21171,43.897052722408816,C85,Q
165,0,2,John Doe,male,68,3,2,A/5 21171,45.091612659676066,C85,Q
166,0,1,John Doe,male,56,4,1,A/5 21171,24.943832698360996,C85,C
167,1,3,John Doe,male,67,0,4,A/5 21171,27.737313291834855,C85,C
168,1,3,John Doe,male,63,1,1,A/5 21171,34.91225431559462,C85,C
169,1,3,John Doe,male,15,4,4,A/5 21171,74.86051566648943,C85,Q
170,1,3,John Doe,male,61,1,3,A/5 21171,15.924756288779163,C85,C
171,1,1,John Doe,female,74,4,4,A/5 21171,28.64359219077309,C85,Q
172,1,1,John Doe,female,60,4,2,A/5 21171,48.84878375456778,C85,C
173,0,3,John Doe,female,12,3,0,A/5 21171,92.4508673347879,C85,C
174,1,1,John Doe,male,68,0,0,A/5 21171,98.80848187606011,C85,Q
175,1,2,John Doe,male,21,2,4,A/5 21171,88.51119292006973,C85,Q
176,1,2,John Doe,female,66,3,3,A/5 21171,46.056812167861416,C85,Q
177,1,1,John Doe,female,23,4,0,A/5 21171,60.64501136435756,C85,Q
178,1,2,John Doe,female,9,2,0,A/5 21171,77.01703060597472,C85,C
179,1,3,John Doe,male,1,1,2,A/5 21171,71.72776339344966,C85,C
180,1,1,John Doe,male,64,2,4,A/5 21171,68.83108847439262,C85,Q
181,1,1,John Doe,female,37,1,4,A/5 21171,12.753337378631713,C85,C
182,0,2,John Doe,male,74,1,4,A/5 21171,97.58515375668897,C85,C
183,0,2,John Doe,female,10,3,2,A/5 21171,83.67894725358755,C85,C
184,0,2,John Doe,male,47,1,1,A/5 21171,25.423623333376007,C85,Q
185,1,3,John Doe,male,13,2,2,A/5 21171,72.3700731259541,C85,C
186,1,3,John Doe,male,51,2,2,A/5 21171,49.55803929228163,C85,S
187,1,1,John Doe,female,18,3,1,A/5 21171,90.20427703859349,C85,C
188,1,2,John Doe,male,58,3,2,A/5 21171,96.71543482936835,C85,S
189,0,2,John Doe,female,53,2,3,A/5 21171,78.08971622586643,C85,Q
190,0,1,John Doe,female,43,1,1,A/5 21171,77.84958406950842,C85,S
191,0,1,John Doe,female,35,1,0,A/5 21171,35.78038434221313,C85,C
192,1,3,John Doe,female,56,4,0,A/5 21171,65.9264618548505,C85,Q
193,0,1,John Doe,male,17,0,2,A/5 21171,18.65132521797287,C85,C
194,0,2,John Doe,male,52,2,1,A/5 21171,57.86135352560373,C85,C
195,0,1,John Doe,female,24,3,3,A/5 21171,80.56018214109113,C85,Q
196,0,2,John Doe,male,26,2,4,A/5 21171,86.2204274546508,C85,C
197,1,2,John Doe,male,32,1,1,A/5 21171,68.24246545806508,C85,C
198,0,2,John Doe,male,35,2,2,A/5 21171,66.04885448836941,C85,Q
199,0,1,John Doe,female,54,2,3,A/5 21171,21.041546605761393,C85,C
200,0,3,John Doe,male,16,1,2,A/5 21171,60.09135140164418,C85,Q
201,0,1,John Doe,female,48,2,1,A/5 21171,13.837574590685769,C85,C
202,1,3,John Doe,male,40,2,0,A/5 21171,96.09661192881707,C85,Q
203,1,3,John Doe,male,69,4,4,A/5 21171,85.61140754040744,C85,Q
204,1,1,John Doe,male,12,3,2,A/5 21171,42.2546151374691,C85,Q
205,1,3,John Doe,female,40,2,3,A/5 21171,28.624884343694692,C85,Q
206,0,2,John Doe,female,36,1,4,A/5 21171,62.14972411685126,C85,S
207,1,3,John Doe,male,43,4,2,A/5 21171,86.22633872819048,C85,S
208,0,1,John Doe,female,50,3,1,A/5 21171,87.42280559706681,C85,Q
209,0,2,John Doe,male,20,3,3,A/5 21171,77.99568129776527,C85,C
210,0,3,John Doe,male,44,4,1,A/5 21171,96.95587777705154,C85,Q
211,0,3,John Doe,female,71,0,2,A/5 21171,18.645961239442883,C85,C
212,1,2,John Doe,male,78,1,4,A/5 21171,88.90066442560352,C85,S
213,1,2,John Doe,female,45,3,2,A/5 21171,91.32523201891013,C85,C
214,1,2,John Doe,male,28,4,0,A/5 21171,78.8297659412801,C85,C
215,0,2,John Doe,female,27,3,0,A/5 21171,63.85757545468353,C85,Q
216,1,1,John Doe,male,73,1,4,A/5 21171,82.06671892606379,C85,Q
217,0,3,John Doe,male,6,3,4,A/5 21171,83.70224638480293,C85,C
218,1,3,John Doe,male,21,1,0,A/5 21171,57.68248470438291,C85,S
219,1,3,John Doe,male,72,4,3,A/5 21171,31.475435168186145,C85,Q
220,0,3,John Doe,male,33,4,4,A/5 21171,47.188372198846714,C85,S
221,0,1,John Doe,male,67,2,0,A/5 21171,40.127386055662534,C85,S
222,0,1,John Doe,female,28,4,4,A/5 21171,64.60405483967082,C85,S
223,0,1,John Doe,male,55,3,4,A/5 21171,13.254446381531512,C85,C
224,0,1,John Doe,male,75,2,4,A/5 21171,69.76111294897876,C85,Q
225,1,3,John Doe,female,25,3,1,A/5 21171,67.47240309246631,C85,C
226,1,1,John Doe,male,58,1,4,A/5 21171,45.212086213452935,C85,S
227,0,3,John Doe,male,53,1,3,A/5 21171,24.54845428411315,C85,S
228,0,3,John Doe,female,32,1,4,A/5 21171,43.64687743965911,C85,C
229,0,1,John Doe,female,65,4,0,A/5 21171,93.78749104870782,C85,C
230,0,3,John Doe,female,6,4,1,A/5 21171,59.810874749586574,C85,S
231,1,1,John Doe,female,25,3,1,A/5 21171,55.58780538754377,C85,S
232,0,3,John Doe,female,74,2,1,A/5 21171,47.44721594621017,C85,S
233,1,1,John Doe,female,16,1,4,A/5 21171,59.170121286836775,C85,Q
234,0,1,John Doe,female,52,3,3,A/5 21171,13.850009323648516,C85,Q
235,0,3,John Doe,male,6,4,2,A/5 21171,75.59211650861032,C85,C
236,0,3,John Doe,female,1,0,1,A/5 21171,78.03308202534497,C85,Q
237,1,2,John Doe,male,61,0,0,A/5 21171,44.78609951046408,C85,C
238,0,1,John Doe,male,39,4,0,A/5 21171,35.20074606236392,C85,S
239,1,2,John Doe,male,11,3,2,A/5 21171,41.58125502002936,C85,C
240,0,2,John Doe,male,36,4,4,A/5 21171,83.7278978592455,C85,C
241,0,2,John Doe,male,33,4,3,A/5 21171,60.1929416615456,C85,Q
242,0,2,John Doe,female,2,3,1,A/5 21171,66.93715673493455,C85,Q
243,1,3,John Doe,male,24,3,3,A/5 21171,68.27164792923881,C85,C
244,1,1,John Doe,female,55,1,1,A/5 21171,53.24165477524004,C85,S
245,1,3,John Doe,male,17,4,3,A/5 21171,23.180518921947606,C85,S
246,1,2,John Doe,female,76,2,3,A/5 21171,82.38648441634608,C85,Q
247,0,3,John Doe,male,2,4,1,A/5 21171,48.18963214815261,C85,Q
248,0,2,John Doe,male,43,0,0,A/5 21171,35.21034493470778,C85,C
249,0,3,John Doe,male,47,1,1,A/5 21171,20.067029740273966,C85,C
250,0,2,John Doe,female,57,1,2,A/5 21171,91.2864138768415,C85,Q
251,1,3,John Doe,female,17,2,3,A/5 21171,66.86823266796426,C85,C
252,0,1,John Doe,female,22,4,1,A/5 21171,43.311152810909604,C85,C
253,1,3,John Doe,female,42,3,0,A/5 21171,24.50828358399356,C85,S
254,1,2,John Doe,female,34,0,1,A/5 21171,84.08215403402419,C85,C
255,1,2,John Doe,male,34,4,3,A/5 21171,73.59221840150434,C85,Q
256,0,2,John Doe,female,12,4,3,A/5 21171,48.123971911236424,C85,Q
257,1,3,John Doe,male,38,3,4,A/5 21171,73.39083375649753,C85,S
258,1,2,John Doe,male,48,4,2,A/5 21171,75.3816959509158,C85,C
259,1,1,John Doe,female,41,1,3,A/5 21171,11.495816105661161,C85,C
260,1,1,John Doe,male,75,3,4,A/5 21171,26.412236100764392,C85,C
261,0,2,John Doe,female,6,0,2,A/5 21171,82.31614119402478,C85,Q
262,0,3,John Doe,female,64,3,2,A/5 21171,42.4089370476536,C85,C
263,0,1,John Doe,male,35,0,0,A/5 21171,62.8359142205547,C85,C
264,1,1,John Doe,female,60,2,2,A/5 21171,56.55374049050067,C85,S
265,1,2,John Doe,male,70,1,4,A/5 21171,45.47765088876812,C85,C
266,0,2,John Doe,female,2,1,0,A/5 21171,40.310813024889285,C85,S
267,1,2,John Doe,female,45,0,3,A/5 21171,78.69248161878801,C85,S
268,1,2,John Doe,female,61,3,1,A/5 21171,33.33813663772392,C85,C
269,0,2,John Doe,male,36,4,2,A/5 21171,28.32240678614097,C85,S
270,0,2,John Doe,male,2,3,0,A/5 21171,81.88980800285997,C85,S
271,0,1,John Doe,male,5,4,3,A/5 21171,80.64602879647256,C85,S
272,1,2,John Doe,female,34,2,3,A/5 21171,82.69143249841113,C85,S
273,1,3,John Doe,female,64,2,1,A/5 21171,19.575643076870723,C85,C
274,1,2,John Doe,female,37,0,4,A/5 21171,78.42419127037411,C85,S
275,0,1,John Doe,male,57,4,2,A/5 21171,26.330323655169433,C85,C
276,0,1,John Doe,male,14,3,1,A/5 21171,85.50549273719656,C85,C
277,0,1,John Doe,female,18,3,4,A/5 21171,68.76763959054685,C85,S
278,1,2,John Doe,female,41,3,0,A/5 21171,49.03081037786968,C85,C
279,0,2,John Doe,female,5,4,0,A/5 21171,73.12481299680525,C85,S
280,0,3,John Doe,female,78,4,0,A/5 21171,80.15262953673225,C85,S
281,0,3,John Doe,male,56,0,1,A/5 21171,63.93845789492653,C85,C
282,1,2,John Doe,female,59,2,0,A/5 21171,55.44003308017055,C85,Q
283,0,3,John Doe,female,77,3,3,A/5 21171,33.37987292008249,C85,C
284,1,2,John Doe,female,57,1,4,A/5 21171,47.14526364760126,C85,S
285,0,2,John Doe,male,20,2,3,A/5 21171,69.48457723153898,C85,S
286,0,1,John Doe,female,20,1,0,A/5 21171,53.51803440034135,C85,C
287,1,3,John Doe,male,55,1,2,A/5 21171,90.95307746451229,C85,C
288,1,2,John Doe,male,63,0,3,A/5 21171,38.22173103409225,C85,C
289,1,2,John Doe,male,78,1,2,A/5 21171,20.72487046932495,C85,C
290,0,1,John Doe,male,38,4,1,A/5 21171,57.4982618962385,C85,S
291,1,3,John Doe,male,41,0,3,A/5 21171,44.0556630321254,C85,C
292,1,2,John Doe,female,58,2,2,A/5 21171,88.70229696609235,C85,S
293,0,3,John Doe,female,6,4,2,A/5 21171,99.08897092761823,C85,C
294,0,2,John Doe,male,21,1,4,A/5 21171,29.816031832407234,C85,C
295,0,3,John Doe,male,74,4,4,A/5 21171,35.9991360575366,C85,C
296,1,3,John Doe,male,69,2,4,A/5 21171,88.77557959408033,C85,C
297,1,1,John Doe,female,38,4,3,A/5 21171,16.525530437449266,C85,Q
298,0,1,John Doe,female,8,0,2,A/5 21171,53.62022583518852,C85,C
299,0,3,John Doe,female,27,1,3,A/5 21171,99.06258022383514,C85,Q
300,0,1,John Doe,male,65,4,4,A/5 21171,49.11940138262183,C85,S
301,0,3,John Doe,female,51,0,2,A/5 21171,80.89940475731822,C85,Q
302,0,3,John Doe,female,40,0,0,A/5 21171,42.97756770735257,C85,S
303,0,2,John Doe,male,68,0,1,A/5 21171,46.04729371941275,C85,S
304,1,1,John Doe,male,26,2,4,A/5 21171,25.28886830130441,C85,S
305,1,3,John Doe,male,20,0,0,A/5 21171,80.32109865805651,C85,S
306,1,2,John Doe,male,8,2,4,A/5 21171,91.69046509106153,C85,S
307,1,3,John Doe,male,58,2,3,A/5 21171,55.568240040104556,C85,Q
308,0,1,John Doe,male,68,2,1,A/5 21171,20.014085726454233,C85,Q
309,0,1,John Doe,female,62,4,4,A/5 21171,79.98374841326985,C85,S
310,1,3,John Doe,male,72,4,0,A/5 21171,97.5676095735051,C85,C
311,0,2,John Doe,female,68,3,0,A/5 21171,59.1736140868673,C85,C
312,1,1,John Doe,male,22,3,4,A/5 21171,71.98668842907892,C85,S
313,0,1,John Doe,male,69,4,4,A/5 21171,60.23557532446837,C85,S
314,0,2,John Doe,male,46,4,1,A/5 21171,81.53459590230499,C85,Q
315,0,3,John Doe,female,17,1,3,A/5 21171,16.062581397088316,C85,C
316,1,2,John Doe,male,74,1,0,A/5 21171,61.3955672091784,C85,C
317,0,2,John Doe,female,47,4,1,A/5 21171,23.20290924070202,C85,Q
318,0,3,John Doe,male,66,0,3,A/5 21171,86.54119006246196,C85,Q
319,0,3,John Doe,male,79,4,3,A/5 21171,44.77568739112956,C85,S
320,1,3,John Doe,male,30,4,0,A/5 21171,15.26281455085069,C85,S
321,0,1,John Doe,male,17,2,2,A/5 21171,96.08063760115645,C85,C
322,0,2,John Doe,female,76,1,0,A/5 21171,60.51899726399995,C85,S
323,0,3,John Doe,female,69,1,0,A/5 21171,19.73669412023615,C85,C
324,0,3,John Doe,male,31,3,0,A/5 21171,25.76104393136849,C85,S
325,0,3,John Doe,female,5,0,0,A/5 21171,37.46022299505657,C85,C
326,0,2,John Doe,male,1,2,0,A/5 21171,35.39776163270869,C85,Q
327,0,2,John Doe,male,57,2,3,A/5 21171,54.33254513872713,C85,Q
328,0,1,John Doe,male,25,0,2,A/5 21171,17.359510814673058,C85,S
329,1,2,John Doe,female,72,1,4,A/5 21171,92.01195701705177,C85,Q
330,1,2,John Doe,male,79,2,3,A/5 21171,17.17653769535534,C85,C
331,1,1,John Doe,male,66,0,1,A/5 21171,27.239105675908192,C85,Q
332,1,3,John Doe,female,21,0,4,A/5 21171,77.99035793527146,C85,S
333,1,1,John Doe,female,25,0,4,A/5 21171,64.87497497471226,C85,Q
334,0,3,John Doe,female,23,1,0,A/5 21171,84.44305756767733,C85,S
335,0,3,John Doe,female,69,2,0,A/5 21171,32.88041428171314,C85,Q
336,0,3,John Doe,female,6,4,1,A/5 21171,65.57164047332458,C85,C
337,0,1,John Doe,female,38,3,4,A/5 21171,70.97838076157456,C85,C
338,1,2,John Doe,male,36,0,1,A/5 21171,74.65347082194846,C85,Q
339,0,1,John Doe,female,27,1,3,A/5 21171,67.71574394636613,C85,Q
340,1,2,John Doe,male,60,0,3,A/5 21171,80.86249536975349,C85,Q
341,0,1,John Doe,female,26,1,0,A/5 21171,73.48273157221605,C85,C
342,1,2,John Doe,male,6,3,0,A/5 21171,31.021495242462972,C85,C
343,1,2,John Doe,female,28,0,2,A/5 21171,67.52805015991271,C85,C
344,0,2,John Doe,male,79,4,2,A/5 21171,62.878938985691725,C85,C
345,1,2,John Doe,female,54,1,2,A/5 21171,21.209699351172944,C85,S
346,0,2,John Doe,male,8,0,2,A/5 21171,10.180927177880502,C85,S
347,1,3,John Doe,male,15,4,2,A/5 21171,25.77483843092162,C85,S
348,1,2,John Doe,male,52,0,0,A/5 21171,18.28767736423152,C85,S
349,1,2,John Doe,male,57,4,1,A/5 21171,37.83196081487314,C85,Q
350,0,3,John Doe,male,1,1,2,A/5 21171,34.15296378484018,C85,Q
351,1,3,John Doe,male,73,0,3,A/5 21171,98.50956715991782,C85,C
352,1,3,John Doe,male,24,3,2,A/5 21171,22.649890778186595,C85,Q
353,0,3,John Doe,male,30,3,4,A/5 21171,40.887010486699616,C85,S
